word 1	word 2	score
mädchen	zimmermädchen	2.923076923
kind	junge	4.461538462
alkohol	wein	4.307692308
nase	mund	2.769230769
straße	auto	2.307692308
glocke	türe	1
schachtel	hut	2.769230769
glaube	eindruck	4.153846154
vorurteil	meinung	5.153846154
aufmerksamkeit	bewusstsein	6.230769231
zorn	laune	4.153846154
eleganz	stil	6.923076923
schönheit	alter	4
buch	thematik	5.307692308
freund	mutter	3
vitamin	eisen	5
auto	fabrik	3.923076923
vertrag	bedingung	6.076923077
kapitel	wahl	2.384615385
arithmetik	rhythmus	2.615384615
gewinner	anwesenheit	2.692307692
glaube	blume	2.384615385
gewinner	ziel	6.538461538
trick	größe	1.307692308
wahl	neigung	3.923076923
hymne	eroberung	3.615384615
ausdauer	kapelle	1.461538462
gefängnis	wahl	2
bedingung	junge	1.692307692
blume	ausdauer	1.538461538
loch	vereinbarung	0.692307692
arzt	temperament	2.384615385
büderlichkeit	türe	0.923076923
aufgabe	frau	1.615384615
brüderlichkeit	baseball	2.615384615
cent	größe	2.076923077
anwesenheit	türe	2
maus	leitung	1.692307692
aufgabe	autobahn	1.230769231
likör	jahrhundert	1
aufgabe	strohhalm	0.538461538
insel	aufgabe	1.923076923
nacht	kapitel	1.153846154
verschmutzung	präsident	0.846153846
pistole	finte	4.769230769
bad	finte	1.230769231
diät	apfel	4.461538462
cent	ehefrau	1.307692308
kapitel	schwanz	0.923076923
verlauf	bauch	1.461538462
hymne	strohhalm	0.461538462
zahnarzt	oberst	1.846153846
ehefrau	strohhalm	0.384615385
loch	ehefrau	1.153846154
schüler	präsident	3.076923077
bad	ehefrau	1.923076923
leute	cent	0
formel	holzscheit	0
frau	pelz	0.461538462
apfel	sonnenschein	0.153846154
pistole	morgendämmerung	0
mahl	taille	0.076923077
kamera	präsident	0.153846154
likör	kapelle	0.153846154
bauch	vene	0.076923077
pistole	pelz	0.307692308
couch	baseball	0.230769231
arbeiter	kamera	0.076923077
deck	maus	0.076923077
reis	junge	0
leute	pistole	0
klippe	schwanz	0
winkel	fenster	0.384615385
prinzessin	insel	0
behälter	maus	0
waggon	container	4.153846154
leute	ballon	0.153846154
dollar	leute	0
bad	ballon	0.076923077
bauch	schlafzimmer	0.307692308
fahrrad	schlafzimmer	0
holzscheit	bad	0.076923077
schale	schwanz	0.153846154
gehen	kommen	3.076923077
nehmen	stehlen	4.307692308
zuhören	hören	7.307692308
denken	rationalisieren	3
vorkommen	passieren	7.384615385
vergehen	verschwinden	4.461538462
vermehren	teilen	2.307692308
bitten	betteln	6.692307692
beginnen	entstehen	6.076923077
beschützen	verteidigen	8
töten	zerstören	5.846153846
erschaffen	anfertigen	7.153846154
annehmen	ablehnen	0.153846154
übergehen	vermeiden	3.461538462
tragen	bringen	2.923076923
verlassens	eintreten	0.230769231
auswählen	wählen	8.769230769
verlieren	scheitern	6.769230769
ermutigen	entmutigen	0.230769231
erreichen	vollenden	7.307692308
anfertigen	erbauen	6.461538462
hören	gehorchen	5.230769231
mitteilen	benachrichtigen	7.769230769
erhalten	geben	2.153846154
ausleihen	betteln	1.461538462
nehmen	aneignen	6.615384615
raten	empfehlen	7.923076923
nachahmen	verkörpern	3.923076923
gewinnen	gelingen	4.384615385
denken	entscheiden	4.461538462
grüßen	treffen	2.076923077
zustimmen	bestreiten	1.307692308
genießen	unterhalten	2.846153846
zerstören	anfertigen	1.076923077
retten	beschützen	5
geben	leihen	4.615384615
verstehen	wissen	5.230769231
nehmen	erhalten	5
einsehen	anerkennen	4.846153846
entscheiden	auswählen	6.461538462
annehmen	glauben	5.153846154
behalten	besitzen	5.769230769
durchstreifen	wandern	7.307692308
gelingen	scheitern	1.230769231
ausgeben	sparen	0.846153846
verlassen	gehen	6.230769231
kommen	beiwohnen	3.923076923
wissen	glauben	3
versammeln	treffen	6.153846154
anfertigen	verdienen	1.538461538
vergessen	missachten	2.230769231
vermehren	hinzufügen	6.384615385
schrumpfen	wachsen	1.153846154
ankommen	verlassen	1.230769231
gelingen	versuchen	2.615384615
annehmen	verweigern	1.153846154
ankommen	kommen	6.538461538
zustimmen	abweichen	0.692307692
schicken	erhalten	2.153846154
gewinnen	dominieren	4
hinzufügen	teilen	2.230769231
töten	erdrosseln	6.769230769
erwerben	bekommen	6.230769231
teilnehmen	beitreten	5.692307692
verlassen	zurückbleiben	3.538461538
gehen	eintreten	3.076923077
nehmen	tragen	3.461538462
vergessen	lernen	1.923076923
ernennen	wählen	5.615384615
verloben	heiraten	4.692307692
fragen	beten	1.076923077
gehen	schicken	2.538461538
nehmen	überbringen	1.615384615
sprechen	hören	2.769230769
auswerten	beurteilen	5.769230769
behaupten	rationalisieren	2.230769231
verlieren	behalten	1.692307692
vergleichen	auswerten	5.923076923
durcheinanderbringen	ordnen	2.692307692
gehen	erlauben	1.538461538
nehmen	besitzen	3.461538462
lernen	zuhören	4.230769231
zerstören	erbauen	3.307692308
erschaffen	bauen	6.923076923
stehlen	kaufen	2.461538462
täten	erhängen	3.076923077
vergessen	wissen	2.769230769
erschaffen	vorstellen	1.846153846
tun	passieren	3.692307692
gewinnen	erreichen	5.538461538
geben	verweigern	1.769230769
verdienen	einnehmen	6.769230769
bekommen	legen	1.846153846
verorten	finden	4
erscheinen	beiwohnen	3.615384615
wissen	begreifen	5.538461538
vorgeben	vorstellen	3.538461538
befriedigen	zufriedenstellen	6.923076923
hegen	behalten	3.076923077
behaupten	abweichen	2.153846154
überwinden	dominieren	4.153846154
benehmen	gehorchen	3.692307692
zusammenarbeiten	teilnehmen	5
erreichen	versuchen	3.461538462
scheitern	entmutigen	4.692307692
beginnen	aufhören	2.538461538
sagen	teilnehmen	1.692307692
kommen	bringen	2.769230769
verkünden	ankündigen	7.769230769
lesen	begreifen	4.076923077
nehmen	zurücklassen	2.384615385
ausrufen	ankündigen	5.615384615
erwerben	erlangen	5.846153846
folgern	entscheiden	3.615384615
zufriedenstellen	anflehen	1.769230769
behaupten	beweisen	3.230769231
fragen	anflehen	3.538461538
finden	verschwinden	2.307692308
prüfen	überprüfen	8
versichern	rechtfertigen	2.769230769
mutmaßen	voraussagen	4.769230769
lernen	beurteilen	2.153846154
behaupten	rechtfertigen	3.538461538
anfertigen	werden	2
entdecken	entstehen	3.230769231
erreichen	gelingen	6.230769231
geben	stellen	2.846153846
verstehen	zuhören	4.076923077
ausdehnen	wachsen	6.307692308
ausleihen	verkaufen	1.846153846
behalten	beschützen	2.615384615
erklären	beweisen	5.153846154
mutmaßen	vorgeben	2.615384615
zustimmen	zufriedenstellen	3.692307692
vergeben	vergessen	4.846153846
klären	erklären	5.846153846
verstehen	vergeben	3.538461538
erinnern	vergessen	2.307692308
bekommen	zurückbleiben	1.538461538
erkennen	entdecken	5.307692308
benötigen	nachforschen	2
übergehen	fragen	1.307692308
denken	erkundigen	2.923076923
ablehnen	vermeiden	5.615384615
behaupten	überzeugen	4.461538462
verfolgen	überzeugen	2
einsehen	vergeben	3.692307692
tun	aufhören	1.846153846
untersuchen	überprüfen	7.076923077
debattieren	erklären	4.923076923
schulden	ausleihen	3
erkunden	entdecken	7.384615385
beschweren	behaupten	2.153846154
zurückziehen	ablehnen	3.846153846
behalten	ausleihen	2.307692308
betteln	fragen	3.846153846
anordnen	gliedern	5.307692308
verringern	schrumpfen	6.923076923
sprechen	anerkennen	2.230769231
geben	ausleihen	3.846153846
töten	verteidigen	2.307692308
verschwinden	schrumpfen	4.461538462
überbringen	tragen	3.615384615
atmen	ersticken	1.615384615
anerkennen	benachrichtigen	1.769230769
werden	scheinen	2.615384615
vorgeben	scheinen	4.230769231
vollenden	werden	4.076923077
nachsinnen	denken	6.307692308
festlegen	vorhersagen	3.230769231
zufriedenstellen	unterhalten	2.384615385
bleiben	zurückhalten	4.076923077
vorgeben	verkörpern	5.076923077
vergessen	beibehalten	2.461538462
wollen	aussuchen	4.230769231
verlieren	bekommen	2.307692308
versuchen	denken	2.692307692
werden	auftauchen	1.769230769
verlassen	übergehen	3.076923077
annehmen	empfehlen	2.538461538
zurücklassen	wandern	1.615384615
behalten	geben	2.153846154
geben	erlauben	2.769230769
bringen	schicken	4.461538462
aufnehmen	lernen	5.769230769
erlangen	finden	4.153846154
verlassen	auftauchen	2
erschaffen	zerstören	2.307692308
anfangen	gehen	2.307692308
bekommen	kaufen	4.307692308
sammeln	aufbewahren	7
ersetzen	wiederherstellen	5.769230769
zusammenfügen	hinzufügen	5.769230769
vereinigen	heiraten	6.769230769
annehmen	ausliefern	2.923076923
anfügen	zusammenfügen	6
stellen	aufhängen	2.846153846
gehen	verkaufen	1.923076923
mitteilen	beten	2.538461538
geben	stehlen	1.307692308
hinzufügen	bauen	4.692307692
bringen	wiederherstellen	2.384615385
begreifen	befriedigen	1.230769231
verkörpern	entscheiden	1
gliedern	werden	1.923076923
geben	wissen	1.923076923
sagen	bewahrheiten	4.615384615
zusammenarbeiten	beitreten	3.384615385
anordnen	verlangen	5.230769231
ausleihen	wollen	2.538461538
untersuchen	nachgehen	7.461538462
übergehen	erkunden	1.384615385
bringen	beschweren	1.538461538
eintreten	schulden	1.538461538
verkörpern	benachrichtigen	1.846153846
erinnern	verkaufen	1.769230769
aufnehmen	besitzen	3.538461538
beitreten	erwerben	2.384615385
schicken	beiwohnen	0.923076923
versammeln	beiwohnen	3.769230769
aufnehmen	zurückziehen	1.153846154
beiwohnen	ankommen	2.615384615
