Word1	Word2	Score
psychology	doctor	7.98
psychology	Freud	8.46
psychology	mind	8.46
psychology	health	7.35
psychology	science	6.81
psychology	discipline	6.23
psychology	cognition	7.50
planet	star	8.08
planet	constellation	7.08
planet	moon	8.15
planet	sun	8.58
planet	galaxy	7.65
planet	space	8.23
planet	astronomer	7.23
precedent	example	6.85
precedent	information	5.54
precedent	cognition	4.15
precedent	law	6.54
precedent	collection	3.92
precedent	group	2.38
precedent	antecedent	6.69
cup	coffee	7.65
cup	tableware	7.54
cup	article	1.85
cup	artifact	3.54
cup	object	6.62
cup	entity	2.08
cup	drink	7.96
cup	food	4.15
cup	substance	3.69
cup	liquid	6.82
jaguar	cat	8.85
jaguar	car	7.35
energy	secretary	0.92
secretary	senate	3.92
energy	laboratory	4.12
computer	laboratory	4.58
weapon	secret	4.73
FBI	fingerprint	5.38
FBI	investigation	8.15
investigation	effort	5.50
Mars	water	2.65
Mars	scientist	4.31
news	report	8.15
canyon	landscape	7.62
image	surface	4.04
discovery	space	6.50
water	seepage	6.15
sign	recess	1.42
Wednesday	news	1.96
mile	kilometer	6.92
computer	news	4.08
territory	surface	3.96
atmosphere	landscape	3.58
president	medal	3.38
war	troops	7.88
record	number	5.88
skin	eye	4.69
Japanese	American	6.15
theater	history	2.65
volunteer	motto	1.85
prejudice	recognition	2.73
decoration	valor	6.88
century	year	6.54
century	nation	1.46
delay	racism	1.08
delay	news	1.88
minister	party	2.58
peace	plan	3.69
minority	peace	2.85
attempt	peace	2.35
government	crisis	4.42
deployment	departure	7.81
deployment	withdrawal	6.27
energy	crisis	3.85
announcement	news	7.62
announcement	effort	3.08
stroke	hospital	5.88
disability	death	5.15
victim	emergency	6.77
treatment	recovery	7.54
journal	association	3.00
doctor	personnel	5.73
doctor	liability	4.69
liability	insurance	8.48
school	center	5.08
reason	hypertension	0.69
reason	criterion	5.50
hundred	percent	6.69
Harvard	Yale	8.77
hospital	infrastructure	5.42
death	row	5.46
death	inmate	3.92
lawyer	evidence	7.35
life	death	6.96
life	term	5.35
word	similarity	2.00
board	recommendation	2.50
governor	interview	1.31
OPEC	country	1.92
peace	atmosphere	2.31
peace	insurance	0.69
territory	kilometer	2.46
travel	activity	4.85
competition	price	4.54
consumer	confidence	4.08
consumer	energy	4.50
problem	airport	1.92
car	flight	3.46
credit	card	6.38
credit	information	5.65
hotel	reservation	7.59
grocery	money	4.88
registration	arrangement	5.12
arrangement	accommodation	6.54
month	hotel	0.31
type	kind	9.31
arrival	hotel	4.27
bed	closet	2.33
closet	clothes	7.69
situation	conclusion	3.46
situation	isolation	1.88
impartiality	interest	2.65
direction	combination	0.81
street	place	6.08
street	avenue	8.77
street	block	7.85
street	children	1.54
listing	proximity	1.96
listing	category	6.29
cell	phone	8.54
production	hike	1.00
benchmark	index	4.46
media	trading	1.15
media	gain	1.31
dividend	payment	8.38
dividend	calculation	6.62
calculation	computation	9.38
currency	market	5.46
OPEC	oil	7.52
oil	stock	5.69
announcement	production	2.38
announcement	warning	6.15
profit	warning	0.77
profit	loss	6.69
dollar	yen	8.08
dollar	buck	9.54
dollar	profit	6.77
dollar	loss	5.38
computer	software	8.00
network	hardware	7.73
phone	equipment	6.85
equipment	maker	3.62
luxury	car	5.12
five	month	1.08
report	gain	3.00
investor	earning	6.42
liquid	water	8.62
baseball	season	5.31
game	victory	6.54
game	team	7.15
marathon	sprint	5.69
game	series	4.62
game	defeat	5.38
seven	series	2.38
seafood	sea	7.94
seafood	food	8.52
seafood	lobster	8.60
lobster	food	8.37
lobster	wine	2.54
food	preparation	5.46
video	archive	3.69
start	year	1.42
start	match	2.08
game	round	4.46
boxing	round	6.54
championship	tournament	7.92
fighting	defeating	5.31
line	insurance	1.15
day	summer	3.54
summer	drought	5.19
summer	nature	4.62
day	dawn	7.62
nature	environment	8.85
environment	ecology	8.23
nature	man	6.69
man	woman	8.38
man	governor	6.00
murder	manslaughter	7.65
soap	opera	5.38
opera	performance	7.46
life	lesson	5.69
focus	life	4.46
production	crew	5.38
television	film	6.88
lover	quarrel	5.69
viewer	serial	3.04
possibility	girl	2.46
population	development	4.42
morality	importance	4.46
morality	marriage	4.77
Mexico	Brazil	6.19
gender	equality	6.27
change	attitude	5.54
family	planning	5.69
opera	industry	3.38
sugar	approach	1.00
practice	institution	3.31
ministry	culture	4.35
problem	challenge	7.81
size	prominence	6.19
country	citizen	6.15
planet	people	5.85
development	issue	4.58
experience	music	4.54
music	project	4.46
glass	metal	4.58
aluminum	metal	7.62
chance	credibility	4.12
exhibit	memorabilia	5.85
concert	virtuoso	6.04
rock	jazz	6.85
museum	theater	6.00
observation	architecture	3.62
space	world	5.85
preservation	world	4.31
admission	ticket	7.42
shower	thunderstorm	6.73
shower	flood	6.19
weather	forecast	7.88
disaster	area	5.04
governor	office	5.85
architecture	century	3.31
