Word1	Word2	Score
вино	омар	3.31
приготовление	пища	7.69
архив	видео	6.85
год	начало	6.00
матч	начало	5.85
раунд	игра	6.08
раунд	бокс	7.54
турнир	чемпионат	8.31
побеждать	борьба	8.15
страховка	линия	1.38
лето	день	5.15
засуха	лето	7.38
природа	лето	6.54
рассвет	день	5.85
среда	природа	8.54
экология	среда	9.00
человек	природа	7.69
женщина	мужчина	8.62
губернатор	человек	5.00
человекоубийство	убийство	8.42
опера	мыло	5.85
спектакль	опера	7.23
урок	жизнь	6.46
жизнь	фокус	3.62
экипаж	производство	1.23
фильм	телевидение	7.31
ссора	любовник	5.69
серийный	зритель	3.23
девочка	возможность	2.69
развитие	население	3.46
важность	мораль	4.08
брак	мораль	4.92
Бразилия	Мексика	6.15
равенство	пол	5.77
отношение	изменение	4.38
планирование	семья	6.38
промышленность	опера	0.69
подход	сахар	0.62
учреждение	практика	2.38
культура	министерство	5.08
вызов	проблема	4.77
выступ	размер	2.69
гражданин	страна	7.15
люди	планета	7.46
выпуск	развитие	3.15
музыка	опыт	2.46
проект	музыка	3.62
металл	стекло	4.77
металл	алюминий	7.46
достоверность	шанс	4.00
памятные	экспонат	5.54
виртуоз	концерт	7.62
джаз	рок	8.00
театр	музей	7.31
архитектура	наблюдение	3.69
мир	пространство	6.62
мир	предохранение	3.00
билет	вход	6.92
гроза	ливень	8.15
наводнение	ливень	7.85
прогноз	погода	9.08
область	катастрофа	3.92
офис	губернатор	5.08
век	архитектура	4.92
