Word 1	Word 2	Human (mean)
Wort	Ähnlichkeit	2.46
Gremium	Empfehlung	3.65
Direktor	Interview	2.46
OPEC	Staat	3.92
Frieden	Stimmung	4.46
Frieden	Versicherung	2.15
Gelände	Kilometer	3.46
Reise	Aktivität	6.31
Wettbewerb	Preis	7.73
Konsument	Vertrauen	3.85
Konsument	Energie	3.69
Problem	Flughafen	2.23
Auto	Flug	3.77
Kredit	Karte	6.31
Vertrauen	Information	4.77
Hotel	Reservierung	6.81
Lebensmittel	Geld	4.88
Registrierung	Abmachung	2.69
Vereinbarung	Unterkunft	2.00
Monat	Hotel	0.69
Art	Sorte	8.81
Ankunft	Hotel	4.54
Bett	Schrank	6.15
Schrank	Kleider	7.50
Lage	Schlussfolgerung	3.69
Situation	Isolation	2.15
Unparteilichkeit	Interesse	2.50
Richtung	Verbindung	3.65
Straße	Platz	5.35
Straße	Allee	7.73
Straße	Häuserblock	5.50
Straße	Kinder	3.73
Aufzählung	Nähe	0.92
Liste	Kategorie	5.85
Zelle	Telefon	6.38
Herstellung	Wanderung	0.69
Richtwert	Kennziffer	4.92
Medien	Handel	2.87
Medien	Vorteil	1.81
Gewinnanteil	Auszahlung	7.32
Gewinnanteil	Kalkulation	6.15
Kalkulation	Berechnung	9.54
Währung	Markt	6.03
OPEC	Öl	7.65
Öl	Aktie	5.14
Ankündigung	Produktion	1.65
Ankündigung	Warnung	6.06
Gewinn	Warnung	2.85
Gewinn	Verlust	7.85
Dollar	Yen	7.31
Dollar	Kohle	5.58
Dollar	Gewinn	5.25
Dollar	Verlust	5.27
Computer	Software	8.35
Netzwerk	Hardware	6.88
Telefon	Zubehör	4.42
Zubehör	Hersteller	4.43
Luxus	Auto	5.14
Fünf	Monat	1.33
Bericht	Zuwachs	2.02
Investor	Einkommen	4.05
Flüssigkeit	Wasser	8.62
Baseball	Saison	4.98
Spiel	Sieg	7.08
Spiel	Mannschaft	6.88
Marathon	Sprint	7.67
Spiel	Serie	4.85
Spiel	Niederlage	6.77
Sieben	Reihe	2.41
Meeresfrüchte	Meer	7.32
Meeresfrüchte	Essen	7.23
Meeresfrüchte	Hummer	6.81
Hummer	Essen	6.78
Hummer	Wein	4.15
Essen	Vorbereitung	5.58
Video	Archiv	5.06
Beginn	Jahr	4.70
Beginn	Partie	4.22
Spiel	Runde	6.33
Boxen	Runde	7.35
Meisterschaft	Turnier	8.05
Kämpfen	Besiegen	7.41
Grundsatz	Versicherung	2.51
Tag	Sommer	3.33
Sommer	Dürre	6.04
Sommer	Natur	5.37
Tag	Dämmerung	5.97
Natur	Umwelt	8.00
Umwelt	Nachhaltigkeit	6.54
Natur	Mensch	6.31
Mann	Frau	8.69
Mann	Präsident	5.46
Mord	Totschlag	8.62
Seife	Oper	2.85
Oper	Aufführung	6.38
Leben	Lektion	4.54
Fokus	Leben	2.62
Herstellung	Belegschaft	3.23
Fernsehen	Film	7.31
Liebhaber	Streit	4.08
Zuschauer	Serie	5.38
Möglichkeit	Mädchen	1.65
Bevölkerung	Entwicklung	4.27
Moral	Wichtigkeit	4.65
Moral	Heirat	2.81
Mexiko	Brasil	5.23
Geschlecht	Gleichheit	3.81
Änderung	Einstellung	4.15
Familie	Planung	5.62
Oper	Industrie	0.85
Zucker	Annäherung	1.46
Praxis	Institution	4.27
Ministerium	Kultur	4.38
Problem	Herausforderung	6.08
Größe	Prominenz	5.46
Staat	Bürger	6.77
Planet	Menschen	5.62
Entwicklung	Ausgabe	3.15
Erfahrung	Musik	1.08
Musik	Projekt	4.04
Glas	Metal	3.92
Aluminium	Metal	7.81
Möglichkeit	Glaubwürdigkeit	2.69
Ausstellungsstück	Erinnerungsstück	4.38
Konzert	virtuos	4.46
Rock	Jazz	6.19
Museum	Theater	5.42
Betrachtung	Architektur	4.38
Weltraum	Erde	6.46
Erhaltung	Welt	4.31
Einlass	Eintritt	8.08
Regen	Gewitter	7.85
Regen	Flut	7.27
Wetter	Vorhersage	6.46
Katastrophe	Gebiet	4.27
Präsident	Büro	3.42
Architektur	Jahrhundert	3.08
